# anchor=1: R measured directly on CALSPEC HD163466 (jw09265); anchor=0: G/K-ensemble shape rescaled to the CALSPEC overlap (blue of the saturation limit)
wavelength DN/s/pixel/Jy err n_samples anchor
4.459618812281677 247120.43930154372 36802.680775831075 11.0 0
4.581290839011354 317075.1919838103 29738.610482973232 17.0 0
4.706282450376321 377990.2448720477 22017.461021727337 16.0 0
4.834684214787799 385328.25285756716 13605.728227600232 19.0 0
4.966589171639984 421966.2139364783 17106.003482892513 22.0 0
5.102092898726005 435523.96946333395 20644.319951706526 24.0 0
5.24129358149321 429812.6701625185 15382.76366102248 28.0 0
5.384292084187938 403751.35661421594 18446.27256649884 29.0 0
5.531192022941339 396183.8358827613 29201.111797214726 33.0 0
5.682099840849204 350358.7094155957 16726.858928129946 37.0 0
5.837124885100189 335766.600723186 20661.683241856565 40.0 0
5.99637948620835 314836.2726662781 11936.699721690877 44.0 0
6.159979039407369 303803.6252751966 11769.80288833435 46.0 0
6.328042088265474 291313.6363141349 8017.605826774362 52.0 0
6.500690410581619 299921.5249845933 15172.948339410097 55.0 0
6.678049106625185 292832.3165397508 16446.60705439262 60.0 0
6.860246689783121 271841.63353265706 10243.226566019555 67.0 0
7.047415179680222 260300.45981510868 9834.208504270751 70.0 0
7.239690197840005 252678.3923779315 9325.398346652648 74.0 0
7.437211065955521 231269.70075331797 752.0610955895103 79.0 1
7.640120906841274 215019.01268148643 441.5729741157622 89.0 1
7.848566748139433 203117.09094823775 197.50601342620618 88.0 1
8.06269962885546 188235.92442310788 389.5749999241168 98.0 1
8.282674708800364 177012.57899625762 561.2491955036938 108.0 1
8.508651381018849 168477.1008622811 667.6594614603277 112.0 1
8.740793387284883 165581.57100442206 476.2608385043542 119.0 1
8.979268936748309 149580.5432986007 376.86823284284765 125.0 1
9.224250827818505 137515.6536636165 342.7934742953071 131.0 1
9.475916573373414 126972.63367663987 187.05988213916237 144.0 1
9.734448529384647 114899.91871719832 246.1612708571208 152.0 1
10.000034027051871 103157.39820306942 127.80290666059317 159.0 1
10.272865508542239 89637.00678829836 115.27249695101608 167.0 1
10.553140666433194 70955.4241588548 132.30462842938584 180.0 1
10.841062586959703 55471.0656938823 76.1609040014833 183.0 1
11.136839897169718 44163.79803329979 85.03889402910765 200.0 1
11.440686916094474 37128.72311952083 120.80096181413634 205.0 1
11.752823810043198 30684.387684785455 84.74851462521418 217.0 1
12.073476752134704 23310.071476787634 68.34754065132067 229.0 1
12.402878086181518 17195.197993046626 39.27009669480328 240.0 1
12.741266495045256 12210.561164706516 46.74611553274554 247.0 1
13.088887173585249 9234.556335386733 33.363078427952104 264.0 1
13.445992006325737 7761.152260442623 41.674079260835775 173.0 1
13.812839749970367 6086.964307311546 52.26495324578441 0.0 1
