# anchor=1: R measured directly on CALSPEC HD163466 (jw09265); anchor=0: G/K-ensemble shape rescaled to the CALSPEC overlap (blue of the saturation limit)
wavelength DN/s/pixel/Jy err n_samples anchor
4.459618812281677 202438.90476013723 30505.58965218439 16.0 0
4.581290839011354 217600.51561370186 35222.43719168253 25.0 0
4.706282450376321 322335.94860908337 50158.18430922175 25.0 0
4.834684214787799 365702.09980599483 44231.717482160006 24.0 0
4.966589171639984 412578.13410934806 31143.424834914178 26.0 0
5.102092898726005 445155.249129337 18288.33265607067 30.0 0
5.24129358149321 430123.52578605985 28979.9849349901 31.0 0
5.384292084187938 389184.7666077871 14492.66580214121 35.0 0
5.531192022941339 388729.16793490946 26399.389347132044 36.0 0
5.682099840849204 347399.8650082099 13440.481439705965 40.0 0
5.837124885100189 323404.6076229557 17985.693090868335 42.0 0
5.99637948620835 312543.2343651384 15503.14004543358 43.0 0
6.159979039407369 299359.73320261383 16154.780602714996 49.0 0
6.328042088265474 287848.1472766698 8824.04240292805 50.0 0
6.500690410581619 293880.9915478511 24628.779008341717 58.0 0
6.678049106625185 283745.0121375075 13965.023732090984 58.0 0
6.860246689783121 269755.12308607745 11546.469048979841 66.0 0
7.047415179680222 257196.37793451105 8743.430425612563 65.0 0
7.239690197840005 247446.43032738462 10707.732907954993 74.0 0
7.437211065955521 226832.2925802794 679.7118701438176 75.0 1
7.640120906841274 213898.96277371343 395.63582525117494 86.0 1
7.848566748139433 202392.754917669 253.60811375014495 88.0 1
8.06269962885546 188144.71180331617 409.25742668114134 95.0 1
8.282674708800364 177225.95476832628 581.1312297571194 102.0 1
8.508651381018849 169332.61209784582 666.2970793835826 111.0 1
8.740793387284883 166951.17880627987 477.8089884442922 117.0 1
8.979268936748309 151611.66716364154 476.62454830801346 124.0 1
9.224250827818505 138418.17672399723 376.8404188356281 136.0 1
9.475916573373414 127642.00914223383 205.11257598883384 144.0 1
9.734448529384647 115648.63449181992 249.22158141201183 154.0 1
10.000034027051871 103572.5800704657 196.02853042439148 159.0 1
10.272865508542239 89229.56036525875 136.18898380380978 178.0 1
10.553140666433194 70091.697607332 138.15779355760642 184.0 1
10.841062586959703 53665.82351548126 135.36836599030062 202.0 1
11.136839897169718 41870.92663933989 136.1078869087041 216.0 1
11.440686916094474 35327.0556987345 149.04557161323856 226.0 1
11.752823810043198 26879.21177328216 141.87592459165555 248.0 1
12.073476752134704 19228.4215550355 90.23703008003986 260.0 1
12.402878086181518 13499.111155540759 45.92378531021111 280.0 1
12.741266495045256 9229.099679855977 24.95337212687103 302.0 1
13.088887173585249 7456.804182945765 24.092651562356696 321.0 1
13.445992006325737 5620.19543758586 31.080182787728504 216.0 1
